,state,abbreviation,staff_tests,staff_tests_with_multiples,total_staff_cases,staff_recovered,total_staff_deaths,staff_partial_dose,staff_full_dose,prisoner_tests,prisoner_tests_with_multiples,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,prisoners_partial_dose,prisoners_full_dose,as_of_date,notes
38,rhode island,RI,,,,,,,,,,,,,,,2021-06-22,
39,south carolina,SC,,,1151.0,1140.0,2.0,,,,42437.0,3373.0,3295.0,42.0,8360.0,8360.0,2021-06-22,
40,south dakota,SD,,426.0,191.0,191.0,0.0,,,,9574.0,2344.0,2336.0,7.0,2254.0,,2021-06-22,vaccines as of 6/21
41,tennessee,TN,,,1546.0,1523.0,5.0,,,,51711.0,6701.0,6655.0,42.0,,,2021-06-23,"We have been told vaccinations have begun in this system, but they have not released breakdowns for the number of people vaccinated for this week."
42,texas,TX,,250936.0,11800.0,11450.0,48.0,13365.0,12466.0,,574967.0,34716.0,33257.0,273.0,60034.0,55419.0,2021-06-22,"This week's prisoner deaths totals are based on data from the Texas Justice Initiative. Vaccine numbers as of 6/23.
223 staff and 6,026 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine."
43,utah,UT,,,,,,,,,,,,,,,2021-06-22,
44,vermont,VT,,,113.0,113.0,0.0,0.0,467.0,3215.0,24358.0,464.0,464.0,0.0,,874.0,2021-06-21,
45,virginia,VA,,22893.0,2621.0,2605.0,5.0,7010.0,5554.0,,125330.0,9112.0,8960.0,56.0,19162.0,17074.0,2021-06-24,
46,washington,WA,,,1297.0,,3.0,3742.0,,,,6254.0,6238.0,13.0,8528.0,,2021-06-22,
47,west virginia,WV,,14701.0,505.0,501.0,1.0,,812.0,,11039.0,1632.0,1612.0,12.0,,2497.0,2021-06-25,1694 prisoners fully vaccinated by the one-shot J&J vaccine. 
48,wisconsin,WI,,,2580.0,2578.0,,,,,123423.0,10989.0,10777.0,32.0,10793.0,12348.0,2021-06-22,2218 people were fully vaccinated with Johnson & Johnson's one-shot vaccine. Staff cases as of 6/21
49,wyoming,WY,,,,,,,,,,,,,,,2021-06-22,
50,federal,US,,,7008.0,6873.0,4.0,,19184.0,115362.0,,,,258.0,,80482.0,2021-06-22,
51,alabama,AL,,,1056.0,1046.0,3.0,865.0,,,16497.0,1661.0,1589.0,66.0,10671.0,,2021-06-16,
52,alaska,AK,,,332.0,,0.0,,,,38148.0,,,5.0,,,2021-06-16,
53,arizona,AZ,,,2785.0,2773.0,,,,47758.0,,12326.0,12246.0,64.0,,,2021-06-15,
54,arkansas,AR,,,,,4.0,,,,,11416.0,11350.0,52.0,,,2021-06-16,"We have been told vaccinations have begun in this system, but they have not released numbers of people vaccinated for this week. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
55,california,CA,,,17002.0,16941.0,28.0,35115.0,33060.0,128746.0,,49375.0,48460.0,224.0,70794.0,68805.0,2021-06-15,
56,colorado,CO,,,1948.0,,0.0,3618.0,,20591.0,230798.0,8960.0,,29.0,10541.0,,2021-06-16,
57,connecticut,CT,,86292.0,1690.0,1686.0,0.0,2697.0,,,138227.0,4546.0,4503.0,19.0,4828.0,,2021-06-15,
58,delaware,DE,,,,,,,,,,,,13.0,,,2021-06-15,
59,florida,FL,,,,,,,,,,,,,,,2021-06-15,
60,georgia,GA,,,1745.0,1723.0,4.0,1650.0,,,,3869.0,3768.0,93.0,26569.0,,2021-06-15,
61,hawaii,HI,,,267.0,258.0,0.0,,,,19460.0,2178.0,2041.0,9.0,,,2021-06-14,
62,idaho,ID,6481.0,,484.0,481.0,0.0,250.0,214.0,11968.0,,4164.0,4091.0,6.0,4195.0,3830.0,2021-06-15,
63,illinois,IL,,278704.0,4624.0,4582.0,1.0,,4868.0,,655506.0,10913.0,10910.0,88.0,,18895.0,2021-06-15,
64,indiana,IN,,5721.0,1545.0,1520.0,4.0,,,,23964.0,3719.0,3656.0,51.0,13651.0,12842.0,2021-06-16,
65,iowa,IA,,,710.0,705.0,2.0,1310.0,1334.0,,48711.0,4890.0,4865.0,19.0,3754.0,5103.0,2021-06-16,
66,kansas,KS,,,1218.0,,6.0,1431.0,,,,6116.0,,16.0,6577.0,,2021-06-17,Vaccines as of 6/16
67,kentucky,KY,,,1112.0,,5.0,,,,,7909.0,,48.0,,,2021-06-18,
68,louisiana,LA,2480.0,,947.0,936.0,6.0,2213.0,2168.0,9279.0,,3209.0,3111.0,36.0,9572.0,9037.0,2021-06-15,
69,maine,ME,,,,,,,,,10488.0,197.0,,,,,2021-06-18,
70,maryland,MD,,105309.0,2346.0,2325.0,4.0,4048.0,4059.0,,80989.0,4481.0,4448.0,30.0,11186.0,8959.0,2021-06-18,64 staff were fully vaccinated with the one-shot Johnson & Johnson vaccine
71,massachusetts,MA,,,954.0,,,3148.0,2842.0,,40333.0,2574.0,,21.0,4824.0,4429.0,2021-06-16,
72,michigan,MI,,258572.0,4401.0,,6.0,,,42181.0,978781.0,,26073.0,141.0,12485.0,20174.0,2021-06-18,"Vaccines as of 6/18. 8329 prisoners received the one-shot Johnson & Johnson vaccine and were fully vaccinated. Michigan later revised its total cases down by 1 after this week, so we removed the incorrect total here."
73,minnesota,MN,,,1137.0,947.0,0.0,,,,118258.0,4229.0,4219.0,12.0,1669.0,4935.0,2021-06-16,4191 prisoners have received the one-shot Johnson & Johnson vaccine. We remove 38 presumed positives from the recovered prisoners each week
74,mississippi,MS,,,,,,692.0,546.0,,3448.0,1399.0,,23.0,12572.0,9901.0,2021-06-16,
75,missouri,MO,,13002.0,2641.0,2618.0,6.0,,,,87923.0,5885.0,5813.0,48.0,,,2021-06-16,
76,montana,MT,,,285.0,,0.0,,,,,1138.0,,6.0,,,2021-06-16,
77,nebraska,NE,,,,,,,,3679.0,6788.0,983.0,977.0,6.0,,,2021-06-17,
78,nevada,NV,,,1006.0,,3.0,1292.0,,,,4572.0,,,6531.0,,2021-06-15,
79,new hampshire,NH,,,186.0,186.0,0.0,,,,2081.0,460.0,457.0,3.0,,,2021-06-15,
80,new jersey,NJ,,227359.0,2924.0,,,,,,310312.0,4806.0,,53.0,,,2021-06-13,
81,new mexico,NM,,,973.0,971.0,0.0,1692.0,1681.0,,55098.0,2990.0,2959.0,28.0,4361.0,4271.0,2021-06-15,
82,new york,NY,,,5171.0,5132.0,8.0,7550.0,7965.0,,102601.0,6596.0,6555.0,35.0,,,2021-06-17,
83,north carolina,NC,,163711.0,4008.0,3912.0,13.0,6988.0,6607.0,42980.0,146394.0,10084.0,7774.0,55.0,18523.0,16967.0,2021-06-15,
84,north dakota,ND,,,301.0,299.0,1.0,,,,,635.0,633.0,1.0,,,2021-06-15,
85,ohio,OH,,,4950.0,4925.0,11.0,,,,84501.0,9844.0,6854.0,135.0,,,2021-06-15,
86,oklahoma,OK,,17286.0,1074.0,,,,,,33117.0,7454.0,,56.0,,,2021-06-15,
87,oregon,OR,,,893.0,885.0,0.0,,,,29154.0,3616.0,3457.0,42.0,,,2021-06-16,
88,pennsylvania,PA,,,4980.0,,,3519.0,3499.0,,129551.0,11454.0,,138.0,3028.0,28627.0,2021-06-14,"The vaccination numbers now include prisoners who have been released after being vaccinated and thus may appear to be a larger growth than it should. 25,850 prisoners have been fully vaccinated with the one-shot Johnson & Johnson vaccine. The state is also no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
89,rhode island,RI,,,457.0,455.0,1.0,,,,,1250.0,1245.0,2.0,,,2021-06-18,Subtracting 4 presumed positives among prisoners and 13 presumed positives from staff. 
90,south carolina,SC,,,1149.0,1138.0,2.0,,,,41727.0,3356.0,3280.0,42.0,8360.0,8360.0,2021-06-15,
91,south dakota,SD,,426.0,191.0,191.0,0.0,,,,9405.0,2344.0,2335.0,7.0,2227.0,,2021-06-15,Vaccines as of 6/14
92,tennessee,TN,,,1545.0,1522.0,5.0,,,,50483.0,6697.0,6655.0,42.0,,,2021-06-14,"We have been told vaccinations have begun in this system, but they have not released breakdowns for the number of people vaccinated for this week."
93,texas,TX,,246868.0,11788.0,11441.0,48.0,13330.0,12381.0,,567217.0,34690.0,33254.0,273.0,59110.0,51139.0,2021-06-15,"This week's prisoner deaths totals are based on data from the Texas Justice Initiative. 220 staff and 5,904 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine."
94,utah,UT,,,,,,,,,,,,,,,2021-06-15,
95,vermont,VT,,,113.0,112.0,0.0,0.0,467.0,3188.0,23974.0,464.0,464.0,0.0,,,2021-06-14,
96,virginia,VA,,22893.0,2615.0,2602.0,5.0,7002.0,5546.0,,124978.0,9112.0,8960.0,56.0,19081.0,16970.0,2021-06-17,
97,washington,WA,,,1293.0,,2.0,3731.0,,,,6252.0,6237.0,13.0,8381.0,,2021-06-15,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly."
98,west virginia,WV,,14565.0,503.0,501.0,1.0,,812.0,,10956.0,1631.0,1612.0,12.0,,2457.0,2021-06-17,1654 prisoners fully vaccinated by the one-shot J&J vaccine. Vaccines as of 6/18
99,wisconsin,WI,,,2580.0,2577.0,,,,,122021.0,10989.0,10776.0,32.0,10703.0,11785.0,2021-06-15,2098 people were fully vaccinated with Johnson & Johnson's one-shot vaccine. 
100,wyoming,WY,,,,,,,,,,,,,,,2021-06-15,
101,federal,US,,,6997.0,6868.0,4.0,,19118.0,115278.0,,,,256.0,,78858.0,2021-06-15,
102,alabama,AL,,,1055.0,1046.0,3.0,865.0,,,16489.0,1661.0,1587.0,66.0,10589.0,,2021-06-09,
103,alaska,AK,,,332.0,,0.0,,,,37608.0,2432.0,,5.0,3379.0,2982.0,2021-06-09,Vaccines as of June 7
104,arizona,AZ,,,2782.0,2770.0,,,,47532.0,,12320.0,12246.0,63.0,,,2021-06-08,
105,arkansas,AR,,,,,4.0,,,,,11409.0,11301.0,52.0,,,2021-06-10,"We have been told vaccinations have begun in this system, but they have not released numbers of people vaccinated for this week. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
106,california,CA,,,,,28.0,34837.0,32499.0,127999.0,,49356.0,48404.0,224.0,70374.0,68111.0,2021-06-08,
107,colorado,CO,,,1941.0,,0.0,3614.0,,,228996.0,8959.0,,29.0,10429.0,,2021-06-08,
108,connecticut,CT,,84675.0,1690.0,1685.0,0.0,2697.0,,,134780.0,4546.0,4495.0,19.0,4817.0,,2021-06-08,
109,delaware,DE,,6118.0,769.0,768.0,1.0,1291.0,1129.0,,14546.0,2064.0,2.0,13.0,2540.0,2004.0,2021-06-11,
110,florida,FL,,,,,,,,,,,,,,,2021-06-08,
111,georgia,GA,,,1742.0,1720.0,4.0,1629.0,,,,3869.0,3768.0,93.0,25957.0,,2021-06-08,
112,hawaii,HI,,,265.0,252.0,0.0,,,,19171.0,2112.0,1963.0,9.0,,,2021-06-08,
113,idaho,ID,6445.0,,483.0,480.0,0.0,250.0,214.0,11852.0,,4160.0,4089.0,6.0,4195.0,3830.0,2021-06-08,
114,illinois,IL,,275701.0,4613.0,4568.0,1.0,,4868.0,,651228.0,10912.0,10904.0,88.0,,18895.0,2021-06-08,
115,indiana,IN,,5713.0,1542.0,1513.0,4.0,,,,23782.0,3714.0,3654.0,51.0,13627.0,11832.0,2021-06-08,
116,iowa,IA,,,709.0,705.0,2.0,1310.0,1324.0,,48711.0,4890.0,4865.0,19.0,3734.0,4641.0,2021-06-10,35 staff and 1101 prisoners were fully vaccinated with the single-shot Johnson & Johnson vaccine
117,kansas,KS,,,1218.0,,6.0,1430.0,,,,6115.0,,16.0,6532.0,,2021-06-07,Vaccines as of 6/9
118,kentucky,KY,,,1111.0,,5.0,,,,,7909.0,,48.0,7789.0,,2021-06-11,Vaccine numbers as of 6/9
119,louisiana,LA,2476.0,,944.0,932.0,6.0,2205.0,2161.0,9227.0,,3209.0,3109.0,36.0,9440.0,8986.0,2021-06-08,Vaccinations as of June 9.
120,maine,ME,,,,,,,,,10463.0,197.0,,,801.0,1179.0,2021-06-11,
121,maryland,MD,,97065.0,2340.0,2323.0,4.0,4048.0,4059.0,,79361.0,4480.0,4445.0,30.0,11129.0,8858.0,2021-06-11,64 staff were fully vaccinated with the one-shot Johnson & Johnson vaccine
122,massachusetts,MA,,,954.0,,,3137.0,2842.0,,40129.0,2574.0,,21.0,4796.0,4415.0,2021-06-09,
123,michigan,MI,,253406.0,4401.0,,6.0,,,42092.0,952621.0,26691.0,26008.0,141.0,12465.0,20154.0,2021-06-10,Vaccines as of 6/11. 8325 prisoners received the one-shot Johnson & Johnson vaccine and were fully vaccinated.
124,minnesota,MN,,,1136.0,946.0,0.0,,,,117782.0,4229.0,4219.0,12.0,1512.0,4672.0,2021-06-08,4016 prisoners have received the one-shot Johnson & Johnson vaccine. We remove 38 presumed positives from the recovered prisoners each week
125,mississippi,MS,,,,,,692.0,546.0,,3448.0,1399.0,,23.0,12236.0,9485.0,2021-06-08,
126,missouri,MO,,13002.0,2633.0,2606.0,6.0,,,,87923.0,5875.0,5807.0,48.0,13493.0,,2021-06-10,
127,montana,MT,,,285.0,,0.0,,,,,1138.0,,6.0,,1053.0,2021-06-09,321 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine. Vaccines as of 6/11
128,nebraska,NE,,,,,,,,3677.0,6786.0,983.0,977.0,6.0,,,2021-06-11,
129,nevada,NV,,,1006.0,,3.0,1292.0,,,,4571.0,,,6471.0,,2021-06-08,
130,new hampshire,NH,,,186.0,186.0,0.0,,,,2063.0,460.0,457.0,3.0,1375.0,1553.0,2021-06-09,214 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine.
131,new jersey,NJ,,,,,,,,,,,,53.0,,,2021-06-08,
132,new mexico,NM,,,973.0,970.0,0.0,1686.0,1675.0,,53452.0,2987.0,2958.0,28.0,4210.0,4028.0,2021-06-08,
133,new york,NY,,,,,8.0,,,,100886.0,6593.0,6532.0,35.0,,,2021-06-08,"NY audited its staff case numbers in mid-June and revised them after identifying a number of cases that had been counted twice. We have removed this previous week's total that was inaccurate, as a result."
134,north carolina,NC,,160158.0,3987.0,3877.0,13.0,6988.0,6607.0,42743.0,144696.0,10079.0,7829.0,55.0,18523.0,16967.0,2021-06-08,
135,north dakota,ND,1290.0,25011.0,300.0,299.0,1.0,,,3974.0,36870.0,634.0,633.0,1.0,1009.0,1143.0,2021-06-08,192 people were fully vaccinated with the one-shot Johnson & Johnson vaccine. Vaccine numbers as of 6/10
136,ohio,OH,,,4946.0,4918.0,10.0,,,,83067.0,9843.0,6900.0,135.0,,,2021-06-08,
137,oklahoma,OK,,17286.0,1074.0,,,,,,33028.0,7453.0,,56.0,,,2021-06-08,
138,oregon,OR,,,892.0,883.0,0.0,,,,29153.0,3615.0,3457.0,42.0,,9276.0,2021-06-09,
139,pennsylvania,PA,,,4978.0,,,3512.0,3492.0,,127081.0,11431.0,,138.0,3013.0,28349.0,2021-06-06,"The vaccination numbers now include prisoners who have been released after being vaccinated and thus may appear to be a larger growth than it should. 25,604 prisoners have been fully vaccinated with the one-shot Johnson & Johnson vaccine. The state is also no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
140,rhode island,RI,,,,,1.0,,,,,,,2.0,,,2021-06-08,
141,south carolina,SC,,,1149.0,1134.0,2.0,,,,40561.0,3346.0,3259.0,42.0,8360.0,8216.0,2021-06-08,The number of prisoners partially vaccinated was reported to us incorrectly and has been updated.
142,south dakota,SD,,425.0,191.0,191.0,0.0,,,,9223.0,2343.0,2335.0,7.0,,,2021-06-08,
143,tennessee,TN,,,1543.0,1522.0,5.0,,,,49925.0,6697.0,6654.0,42.0,,,2021-06-09,"We have been told vaccinations have begun in this system, but they have not released breakdowns for the number of people vaccinated for this week."
144,texas,TX,,242943.0,11774.0,11402.0,48.0,,,,557813.0,34679.0,33240.0,273.0,,,2021-06-08,This week's prisoner deaths totals are based on data from the Texas Justice Initiative.
145,utah,UT,,,409.0,405.0,,,,,30465.0,3474.0,3452.0,18.0,390.0,385.0,2021-06-11,Vaccines as of 6/10
146,vermont,VT,,,112.0,111.0,0.0,0.0,467.0,3154.0,23859.0,464.0,463.0,0.0,,860.0,2021-06-08,Last week switched prisoner vaccines from Moderna to J&J
147,virginia,VA,,22820.0,2612.0,2591.0,5.0,6980.0,5510.0,,124097.0,9112.0,8960.0,56.0,18718.0,16630.0,2021-06-10,
148,washington,WA,,,1290.0,,2.0,3723.0,,,,6252.0,6234.0,13.0,8230.0,,2021-06-08,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly."
149,west virginia,WV,,14461.0,503.0,500.0,1.0,,812.0,,10898.0,1631.0,1612.0,12.0,,2452.0,2021-06-11,1649 fully vaccinated prisoners received the one-shot Johnson & Johnson vaccine.
150,wisconsin,WI,,,2578.0,2569.0,,,,,120137.0,10987.0,10767.0,32.0,10594.0,11322.0,2021-06-07,2063 people were fully vaccinated with Johnson & Johnson's one-shot vaccine. Vaccines as of 6/6. Staff as of 6/7
151,wyoming,WY,,,308.0,302.0,0.0,,,,34195.0,905.0,900.0,4.0,,,2021-06-08,
152,federal,US,,,6979.0,6850.0,4.0,,19056.0,114926.0,,,,256.0,,75676.0,2021-06-08,
153,alabama,AL,,,1053.0,1045.0,3.0,859.0,,,16429.0,1655.0,1585.0,66.0,10579.0,,2021-06-02,
154,alaska,AK,,,330.0,,0.0,,,,34006.0,2430.0,,5.0,3344.0,2927.0,2021-05-31,
155,arizona,AZ,,,2779.0,2766.0,,,,47487.0,,12318.0,12234.0,63.0,,,2021-06-01,
156,arkansas,AR,,,,,4.0,,,,,11399.0,11295.0,52.0,,,2021-06-02,"We have been told vaccinations have begun in this system, but they have not released numbers of people vaccinated for this week. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
157,california,CA,,,16815.0,16611.0,28.0,33259.0,30840.0,127305.0,,49298.0,48396.0,224.0,69946.0,67481.0,2021-06-01,Staff case numbers are as of June 4.
158,colorado,CO,,,1929.0,,0.0,3606.0,,20326.0,226598.0,8959.0,,29.0,10343.0,,2021-06-01,
159,connecticut,CT,,82819.0,1689.0,1684.0,0.0,2697.0,,,129735.0,4543.0,4467.0,19.0,4795.0,,2021-06-01,
160,delaware,DE,,,,,1.0,,,,,,,13.0,,,2021-06-01,
161,florida,FL,,,6066.0,5908.0,9.0,,,,,18072.0,17851.0,221.0,,,2021-06-01,
162,georgia,GA,,,1739.0,1717.0,4.0,1589.0,,,,3868.0,3765.0,93.0,25364.0,,2021-06-03,
163,hawaii,HI,,,259.0,248.0,0.0,,,,18828.0,2053.0,1963.0,9.0,,,2021-06-01,
164,idaho,ID,6440.0,,482.0,480.0,0.0,249.0,213.0,11809.0,,4159.0,4089.0,6.0,3353.0,3033.0,2021-06-01,
165,illinois,IL,,264287.0,4597.0,4534.0,1.0,,4868.0,,633996.0,10909.0,10897.0,88.0,,18895.0,2021-06-01,
166,indiana,IN,,5708.0,1542.0,1511.0,4.0,,,,23601.0,3708.0,3644.0,51.0,13602.0,11013.0,2021-06-01,
167,iowa,IA,,,709.0,705.0,2.0,1310.0,1323.0,,48475.0,4889.0,4864.0,19.0,3715.0,4460.0,2021-06-04,Vaccines as of 6/1
168,kansas,KS,,,1218.0,,6.0,,,,,6114.0,,16.0,,,2021-06-03,
169,kentucky,KY,,,1110.0,,5.0,,,,,7908.0,,48.0,,,2021-06-04,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
170,louisiana,LA,2474.0,,943.0,929.0,6.0,2199.0,2158.0,9141.0,,3208.0,3109.0,36.0,9362.0,8524.0,2021-06-01,Vaccinations as of June 2.
171,maine,ME,,,,,,,,,10441.0,197.0,,,801.0,1139.0,2021-06-04,
172,maryland,MD,,92576.0,2337.0,2317.0,4.0,4048.0,4059.0,,77043.0,4478.0,4440.0,30.0,10934.0,8087.0,2021-06-04,64 staff were fully vaccinated with the one-shot Johnson & Johnson vaccine
173,massachusetts,MA,,,954.0,,,3133.0,2836.0,,38038.0,2574.0,,21.0,4752.0,4412.0,2021-06-02,
174,michigan,MI,,247353.0,4392.0,,6.0,,,41997.0,929806.0,26684.0,25854.0,141.0,12445.0,20074.0,2021-06-03,vaccine numbers from 6/4. 8264 prisoners received the one-shot Johnson & Johnson vaccine and were fully vaccinated.
175,minnesota,MN,,,1135.0,944.0,0.0,,,,117203.0,4229.0,4219.0,12.0,1330.0,4609.0,2021-06-01,3956 prisoners have received the one-shot Johnson & Johnson vaccine. We remove 38 presumed positives from the recovered prisoners each week
176,mississippi,MS,,,,,,692.0,546.0,,3444.0,1399.0,,23.0,10844.0,8734.0,2021-06-03,
177,missouri,MO,,12995.0,2616.0,2595.0,6.0,,,,86577.0,5855.0,5769.0,48.0,12663.0,,2021-06-01,
178,montana,MT,,,285.0,,0.0,,,,,1138.0,,6.0,,1018.0,2021-06-02,297 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine. Vaccines as of 6/3
179,nebraska,NE,,,,,,,,3676.0,6784.0,982.0,976.0,6.0,,,2021-06-04,
180,nevada,NV,,,1006.0,,3.0,,,,,4568.0,,,,,2021-06-01,
181,new hampshire,NH,,,186.0,186.0,0.0,,,,2034.0,460.0,457.0,3.0,,,2021-06-01,
182,new jersey,NJ,,222257.0,2909.0,,,,,,299085.0,4804.0,,53.0,,,2021-05-30,
183,new mexico,NM,,,972.0,966.0,0.0,1684.0,1671.0,,53452.0,2987.0,2958.0,28.0,3587.0,3185.0,2021-06-01,
184,new york,NY,,,,,8.0,7546.0,7928.0,,99966.0,6589.0,6526.0,35.0,3965.0,16447.0,2021-06-02,"398 staff and 9070 incarcerated individuals have been fully vaccinated with the one-shot Johnson & Johnson vaccine. NY audited its staff case numbers in mid-June and revised them after identifying a number of cases that had been counted twice. We have removed this previous week's total that was inaccurate, as a result."
185,north carolina,NC,,153667.0,3984.0,3869.0,13.0,,,42485.0,142860.0,10072.0,7874.0,55.0,17552.0,15695.0,2021-06-01,
186,north dakota,ND,1286.0,24978.0,300.0,299.0,1.0,,,3905.0,36686.0,634.0,633.0,1.0,1006.0,1133.0,2021-06-04,182 people were fully vaccinated with the one-shot Johnson & Johnson vaccine. Vaccine numbers as of 6/2 and tests as of 6/1
